srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
244.3.160.239,64837,244.3.31.75,80,TCP,158.66666666666666,68531.55555555555,744,40,952
244.3.31.75,80,244.3.160.239,64837,TCP,220.6,127601.43999999999,935,40,1103
77.197.210.128,56594,41.177.26.176,80,TCP,91.66666666666667,12541.888888888883,342,40,550
244.3.48.41,10158,244.3.160.239,80,TCP,314.8,297688.9600000001,1406,40,1574
244.3.160.239,80,244.3.48.41,10158,TCP,61.8,1577.7599999999998,141,40,309
41.177.26.176,80,77.197.210.128,56594,TCP,890.5,309294.0,1500,40,7124
244.3.160.239,64838,41.43.180.128,80,TCP,273.5,268896.5833333333,1433,40,1641
41.177.98.57,50835,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50835,UDP,299.0,0.0,299,299,299
68.33.214.48,11751,244.3.160.239,80,TCP,117.1,52278.88999999999,803,40,1171
244.3.160.239,80,68.33.214.48,11751,TCP,864.6,316573.64,1500,40,8646
41.177.98.57,50836,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50836,UDP,275.0,0.0,275,275,275
41.177.98.57,50837,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50837,UDP,275.0,0.0,275,275,275
41.177.98.57,50838,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50838,UDP,299.0,0.0,299,299,299
41.177.98.57,50839,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50839,UDP,275.0,0.0,275,275,275
41.177.98.57,50840,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50840,UDP,275.0,0.0,275,275,275
41.43.180.128,80,244.3.160.239,64838,TCP,73.0,4098.4,201,40,365
244.3.160.239,64839,244.3.31.75,80,TCP,105.3,37344.81000000001,685,40,1053
244.3.31.75,80,244.3.160.239,64839,TCP,1208.8,339192.96,1500,40,12088
215.224.151.209,52061,41.177.26.176,80,TCP,40.0,0.0,40,40,80
244.3.48.41,10914,244.3.160.239,80,TCP,315.2,298562.55999999994,1408,40,1576
244.3.160.239,80,244.3.48.41,10914,TCP,61.8,1577.7599999999998,141,40,309
244.3.160.239,64840,41.43.180.128,80,TCP,273.8333333333333,269670.13888888893,1435,40,1643
145.95.81.118,53012,145.95.41.34,4000,UDP,496.0,8496.0,580,340,1984
151.77.39.25,2354,244.3.160.239,80,TCP,180.6,140902.44000000003,1300,40,1806
244.3.160.239,80,151.77.39.25,2354,TCP,818.9,350765.2899999999,1300,40,8189
244.3.160.239,64841,244.3.31.108,80,TCP,169.9,149800.49,1331,40,1699
244.3.31.108,80,244.3.160.239,64841,TCP,1208.8,339192.96,1500,40,12088
41.177.98.57,50841,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50841,UDP,299.0,0.0,299,299,299
41.177.98.57,50842,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50842,UDP,275.0,0.0,275,275,275
41.177.98.57,50843,41.177.202.202,53,UDP,81.0,0.0,81,81,81
