srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.98.57,61107,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61107,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61108,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61108,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61109,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61109,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.205,123,244.157.13.98,123,UDP,76,76,0,0,0,0,0,0,0,0,0
244.157.13.98,123,41.177.26.205,123,UDP,76,76,0,0,0,0,0,0,0,0,0
41.177.98.57,61110,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61110,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.57,61111,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61111,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61112,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61112,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61113,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61113,UDP,214,214,0,0,0,0,0,0,0,0,0
122.40.75.164,36023,244.3.210.197,80,TCP,1240,60,52,144,144,112,52,52,52,52,52
122.40.75.164,36024,244.3.210.197,80,TCP,543,60,52,111,112,52,52,52,52,0,0
244.3.210.197,80,122.40.75.164,36023,TCP,18359,64,52,1500,1500,1500,1500,1500,1500,1500,1500
244.3.210.197,80,122.40.75.164,36024,TCP,3737,64,52,1500,1500,76,493,52,0,0,0
122.40.75.164,36025,244.3.210.197,80,TCP,374,60,52,98,112,52,0,0,0,0,0
244.3.210.197,80,122.40.75.164,36025,TCP,531,64,52,363,52,0,0,0,0,0,0
122.40.75.164,36026,244.3.210.197,80,TCP,738,60,52,205,205,112,52,52,0,0,0
244.3.210.197,80,122.40.75.164,36026,TCP,738,64,52,52,466,52,52,0,0,0,0
151.77.192.83,5527,244.3.160.239,80,TCP,2829,48,40,848,1500,313,40,40,0,0,0
244.3.160.239,80,151.77.192.83,5527,TCP,611,48,40,40,40,363,40,40,0,0,0
244.3.160.239,33367,225.116.91.43,80,TCP,2771,48,40,750,1500,313,40,40,40,0,0
41.177.98.57,61114,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61114,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61115,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61115,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61116,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61116,UDP,214,214,0,0,0,0,0,0,0,0,0
244.3.153.248,51969,244.3.202.202,53,UDP,56,56,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,51969,UDP,268,268,0,0,0,0,0,0,0,0,0
244.3.153.248,64769,244.3.202.202,53,UDP,56,56,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,64769,UDP,180,180,0,0,0,0,0,0,0,0,0
225.116.91.43,80,244.3.160.239,33367,TCP,661,48,40,40,40,453,40,0,0,0,0
41.177.98.57,61117,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61117,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61118,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61118,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61119,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61119,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61120,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61120,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61121,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61121,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61122,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61122,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61123,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61123,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61124,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61124,UDP,214,214,0,0,0,0,0,0,0,0,0
77.197.128.64,34708,41.177.26.176,80,TCP,682,48,40,394,40,40,40,40,40,0,0
41.177.26.176,80,77.197.128.64,34708,TCP,12287,48,40,824,1500,1500,393,1500,754,1500,1275
41.177.3.81,65023,145.95.48.2,161,UDP,110,110,0,0,0,0,0,0,0,0,0
145.95.48.2,161,41.177.3.81,65023,UDP,113,113,0,0,0,0,0,0,0,0,0
244.3.210.255,1934,68.83.160.23,1984,TCP,144,48,48,48,0,0,0,0,0,0,0
68.83.160.23,1984,244.3.210.255,1934,TCP,120,40,40,40,0,0,0,0,0,0,0
41.177.98.57,61125,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61125,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.57,61126,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61126,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61127,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61127,UDP,275,275,0,0,0,0,0,0,0,0,0
